Energy[eV]	Img
46.2222	4.57439e-05
46.3333	4.53872e-05
46.4444	4.504e-05
46.5556	4.46987e-05
46.6667	4.43598e-05
46.7778	4.4018e-05
46.8889	4.36718e-05
47	4.33146e-05
47.1111	4.29462e-05
47.2222	4.25683e-05
47.3333	4.2183e-05
47.4444	4.17958e-05
47.5556	4.14075e-05
47.6667	4.10227e-05
47.7778	4.06438e-05
47.8889	4.02744e-05
48	3.99189e-05
48.1111	3.96143e-05
48.2222	3.93816e-05
48.3333	3.92005e-05
48.4444	3.90513e-05
48.5556	3.89161e-05
48.6667	3.8773e-05
48.7778	3.86023e-05
48.8889	3.83871e-05
49	3.81056e-05
49.1111	3.77486e-05
49.2222	3.73238e-05
49.3333	3.68511e-05
49.4444	3.6356e-05
49.5556	3.58545e-05
49.6667	3.53722e-05
49.7778	3.49187e-05
49.8889	3.45109e-05
50	3.41884e-05
50.1111	3.38996e-05
50.2222	3.36234e-05
50.3333	3.33496e-05
50.4444	3.30737e-05
50.5556	3.28093e-05
50.6667	3.25448e-05
50.7778	3.22922e-05
50.8889	3.2045e-05
51	3.18021e-05
51.1111	3.15649e-05
51.2222	3.13309e-05
51.3333	3.10986e-05
51.4444	3.08684e-05
51.5556	3.06396e-05
51.6667	3.04109e-05
51.7778	3.01807e-05
51.8889	2.9951e-05
52	2.97192e-05
52.1111	2.94829e-05
52.2222	2.92387e-05
52.3333	2.89894e-05
52.4444	2.87376e-05
52.5556	2.84847e-05
52.6667	2.82332e-05
52.7778	2.79858e-05
52.8889	2.7744e-05
53	2.75088e-05
53.1111	2.72993e-05
53.2222	2.71205e-05
53.3333	2.69637e-05
53.4444	2.68215e-05
53.5556	2.66839e-05
53.6667	2.65397e-05
53.7778	2.63826e-05
53.8889	2.62003e-05
54	2.59873e-05
54.1111	2.57418e-05
54.2222	2.54779e-05
54.3333	2.51998e-05
54.4444	2.49133e-05
54.5556	2.46229e-05
54.6667	2.43342e-05
54.7778	2.4052e-05
54.8889	2.37809e-05
55	2.3527e-05
55.1111	2.32778e-05
55.2222	2.30254e-05
55.3333	2.27722e-05
55.4444	2.25248e-05
55.5556	2.2287e-05
55.6667	2.20647e-05
55.7778	2.18628e-05
55.8889	2.16859e-05
56	2.15375e-05
56.1111	2.14093e-05
56.2222	2.12788e-05
56.3333	2.11495e-05
56.4444	2.10089e-05
56.5556	2.0894e-05
56.6667	2.07669e-05
56.7778	2.06394e-05
56.8889	2.05126e-05
57	2.03865e-05
57.1111	2.02608e-05
57.2222	2.01358e-05
57.3333	2.00112e-05
57.4444	1.98873e-05
57.5556	1.97636e-05
57.6667	1.96403e-05
57.7778	1.95186e-05
57.8889	1.93957e-05
58	1.92729e-05
58.1111	1.91408e-05
58.2222	1.89886e-05
58.3333	1.88216e-05
58.4444	1.86438e-05
58.5556	1.84593e-05
58.6667	1.8272e-05
58.7778	1.80863e-05
58.8889	1.7906e-05
59	1.77348e-05
59.1111	1.75703e-05
59.2222	1.741e-05
59.3333	1.72469e-05
59.4444	1.70872e-05
59.5556	1.69305e-05
59.6667	1.67766e-05
59.7778	1.66264e-05
59.8889	1.64794e-05
60	1.63369e-05
60.1111	1.62205e-05
60.2222	1.61437e-05
60.3333	1.60978e-05
60.4444	1.60715e-05
60.5556	1.60543e-05
60.6667	1.60367e-05
60.7778	1.60084e-05
60.8889	1.59589e-05
61	1.58785e-05
61.1111	1.57722e-05
61.2222	1.5656e-05
61.3333	1.55311e-05
61.4444	1.54052e-05
61.5556	1.52776e-05
61.6667	1.51524e-05
61.7778	1.50336e-05
61.8889	1.49206e-05
62	1.48192e-05
62.1111	1.47358e-05
62.2222	1.46641e-05
62.3333	1.46017e-05
62.4444	1.4543e-05
62.5556	1.44833e-05
62.6667	1.44179e-05
62.7778	1.43418e-05
62.8889	1.42529e-05
63	1.41408e-05
63.1111	1.40183e-05
63.2222	1.38956e-05
63.3333	1.37759e-05
63.4444	1.36543e-05
63.5556	1.35336e-05
63.6667	1.34134e-05
63.7778	1.32934e-05
63.8889	1.3174e-05
64	1.30548e-05
64.1111	1.29359e-05
64.2222	1.28175e-05
64.3333	1.26982e-05
64.4444	1.25825e-05
64.5556	1.24663e-05
64.6667	1.235e-05
64.7778	1.22334e-05
64.8889	1.21161e-05
65	1.20012e-05
65.1111	1.19061e-05
65.2222	1.18393e-05
65.3333	1.17971e-05
65.4444	1.17724e-05
65.5556	1.17566e-05
65.6667	1.1743e-05
65.7778	1.17242e-05
65.8889	1.1693e-05
66	1.16414e-05
66.1111	1.15764e-05
66.2222	1.15086e-05
66.3333	1.14386e-05
66.4444	1.1366e-05
66.5556	1.1291e-05
66.6667	1.12133e-05
66.7778	1.11335e-05
66.8889	1.10511e-05
67	1.09664e-05
67.1111	1.08694e-05
67.2222	1.07558e-05
67.3333	1.0631e-05
67.4444	1.05011e-05
67.5556	1.03723e-05
67.6667	1.02504e-05
67.7778	1.01416e-05
67.8889	1.00519e-05
68	9.98686e-06
68.1111	9.94059e-06
68.2222	9.90073e-06
68.3333	9.86579e-06
68.4444	9.83416e-06
68.5556	9.80417e-06
68.6667	9.77448e-06
68.7778	9.74292e-06
68.8889	9.70893e-06
69	9.66996e-06
69.1111	9.62792e-06
69.2222	9.58522e-06
69.3333	9.54162e-06
69.4444	9.49797e-06
69.5556	9.45433e-06
69.6667	9.41085e-06
69.7778	9.36792e-06
69.8889	9.32575e-06
70	9.28431e-06
70.1111	9.24922e-06
70.2222	9.22334e-06
70.3333	9.20361e-06
70.4444	9.18746e-06
70.5556	9.17218e-06
70.6667	9.15503e-06
70.7778	9.13312e-06
70.8889	9.10388e-06
71	9.06491e-06
71.1111	9.00156e-06
71.2222	8.90893e-06
71.3333	8.79425e-06
71.4444	8.6656e-06
71.5556	8.53095e-06
71.6667	8.39816e-06
71.7778	8.27504e-06
71.8889	8.16959e-06
72	8.08918e-06
72.1111	8.02474e-06
72.2222	7.96216e-06
72.3333	7.90105e-06
72.4444	7.84202e-06
72.5556	7.78543e-06
72.6667	7.73148e-06
72.7778	7.68041e-06
72.8889	7.63264e-06
73	7.5884e-06
73.1111	7.54779e-06
73.2222	7.51006e-06
73.3333	7.47437e-06
73.4444	7.43977e-06
73.5556	7.40519e-06
73.6667	7.36984e-06
73.7778	7.33279e-06
73.8889	7.29313e-06
74	7.24987e-06
74.1111	7.20177e-06
74.2222	7.14915e-06
74.3333	7.09344e-06
74.4444	7.03599e-06
74.5556	6.97825e-06
74.6667	6.92177e-06
74.7778	6.86779e-06
74.8889	6.81779e-06
75	6.77309e-06
75.1111	6.73329e-06
75.2222	6.69612e-06
75.3333	6.66096e-06
75.4444	6.62706e-06
75.5556	6.59382e-06
75.6667	6.56044e-06
75.7778	6.52635e-06
75.8889	6.49073e-06
76	6.45305e-06
76.1111	6.41232e-06
76.2222	6.36907e-06
76.3333	6.3242e-06
76.4444	6.2785e-06
76.5556	6.23292e-06
76.6667	6.18829e-06
76.7778	6.14502e-06
76.8889	6.10612e-06
77	6.06977e-06
77.1111	6.03767e-06
77.2222	6.00948e-06
77.3333	5.9841e-06
77.4444	5.96053e-06
77.5556	5.9379e-06
77.6667	5.9151e-06
77.7778	5.89118e-06
77.8889	5.86525e-06
78	5.8365e-06
78.1111	5.80545e-06
78.2222	5.77387e-06
78.3333	5.74193e-06
78.4444	5.70951e-06
78.5556	5.67653e-06
78.6667	5.64304e-06
78.7778	5.60911e-06
78.8889	5.57471e-06
79	5.53984e-06
79.1111	5.50304e-06
79.2222	5.46351e-06
79.3333	5.4221e-06
79.4444	5.37961e-06
79.5556	5.33702e-06
79.6667	5.29496e-06
79.7778	5.25444e-06
79.8889	5.21605e-06
80	5.18089e-06
80.1111	5.14891e-06
80.2222	5.11957e-06
80.3333	5.0924e-06
80.4444	5.0672e-06
80.5556	5.04364e-06
80.6667	5.02147e-06
80.7778	5.00035e-06
80.8889	4.98001e-06
81	4.96018e-06
81.1111	4.94044e-06
81.2222	4.92078e-06
81.3333	4.90079e-06
81.4444	4.88002e-06
81.5556	4.85832e-06
81.6667	4.83544e-06
81.7778	4.81088e-06
81.8889	4.78485e-06
82	4.75661e-06
82.1111	4.72616e-06
82.2222	4.69375e-06
82.3333	4.65975e-06
82.4444	4.62449e-06
82.5556	4.58808e-06
82.6667	4.55107e-06
82.7778	4.51292e-06
82.8889	4.47579e-06
83	4.43826e-06
83.1111	4.40114e-06
83.2222	4.36475e-06
83.3333	4.32936e-06
83.4444	4.29538e-06
83.5556	4.26275e-06
83.6667	4.23213e-06
83.7778	4.2037e-06
83.8889	4.17758e-06
84	4.15429e-06
84.1111	4.13255e-06
84.2222	4.11076e-06
84.3333	4.08906e-06
84.4444	4.06741e-06
84.5556	4.04585e-06
84.6667	4.02442e-06
84.7778	4.00286e-06
84.8889	3.98143e-06
85	3.96006e-06
85.1111	3.93874e-06
85.2222	3.91745e-06
85.3333	3.89613e-06
85.4444	3.87512e-06
85.5556	3.85404e-06
85.6667	3.83296e-06
85.7778	3.81199e-06
85.8889	3.79105e-06
86	3.77014e-06
86.1111	3.7493e-06
86.2222	3.72847e-06
86.3333	3.70773e-06
86.4444	3.68704e-06
86.5556	3.66639e-06
86.6667	3.64581e-06
86.7778	3.62528e-06
86.8889	3.60474e-06
87	3.58431e-06
87.1111	3.5639e-06
87.2222	3.54348e-06
87.3333	3.5232e-06
87.4444	3.503e-06
87.5556	3.48275e-06
87.6667	3.46256e-06
87.7778	3.44246e-06
87.8889	3.42232e-06
88	3.40239e-06
88.1111	3.3824e-06
88.2222	3.36239e-06
88.3333	3.3425e-06
88.4444	3.32261e-06
88.5556	3.30274e-06
88.6667	3.28299e-06
88.7778	3.26339e-06
88.8889	3.24361e-06
89	3.22392e-06
89.1111	3.20442e-06
89.2222	3.18484e-06
89.3333	3.16537e-06
89.4444	3.14599e-06
89.5556	3.12654e-06
89.6667	3.10714e-06
89.7778	3.08773e-06
89.8889	3.06841e-06
90	3.04922e-06
90.1111	3.03007e-06
90.2222	3.01084e-06
90.3333	2.9919e-06
90.4444	2.97269e-06
90.5556	2.9536e-06
90.6667	2.93467e-06
90.7778	2.91574e-06
90.8889	2.89679e-06
91	2.87791e-06
91.1111	2.85908e-06
91.2222	2.84031e-06
91.3333	2.82153e-06
91.4444	2.80285e-06
91.5556	2.78423e-06
91.6667	2.76562e-06
91.7778	2.747e-06
91.8889	2.72841e-06
92	2.70992e-06
92.1111	2.69239e-06
92.2222	2.67652e-06
92.3333	2.66207e-06
92.4444	2.64937e-06
92.5556	2.63713e-06
92.6667	2.62615e-06
92.7778	2.61592e-06
92.8889	2.6062e-06
93	2.59698e-06
93.1111	2.58788e-06
93.2222	2.57888e-06
93.3333	2.56972e-06
93.4444	2.56014e-06
93.5556	2.55009e-06
93.6667	2.53939e-06
93.7778	2.52769e-06
93.8889	2.51503e-06
94	2.50109e-06
94.1111	2.48592e-06
94.2222	2.46967e-06
94.3333	2.45265e-06
94.4444	2.43477e-06
94.5556	2.41634e-06
94.6667	2.39729e-06
94.7778	2.37812e-06
94.8889	2.35864e-06
95	2.33914e-06
95.1111	2.31975e-06
95.2222	2.30061e-06
95.3333	2.28182e-06
95.4444	2.26349e-06
95.5556	2.24592e-06
95.6667	2.22901e-06
95.7778	2.21315e-06
95.8889	2.19825e-06
96	2.18453e-06
96.1111	2.17187e-06
96.2222	2.15977e-06
96.3333	2.14816e-06
96.4444	2.13711e-06
96.5556	2.12641e-06
96.6667	2.11603e-06
96.7778	2.10595e-06
96.8889	2.09605e-06
97	2.08626e-06
97.1111	2.0765e-06
97.2222	2.06677e-06
97.3333	2.05692e-06
97.4444	2.04692e-06
97.5556	2.03668e-06
97.6667	2.02615e-06
97.7778	2.01534e-06
97.8889	2.0041e-06
98	1.99212e-06
98.1111	1.98006e-06
98.2222	1.9674e-06
98.3333	1.95392e-06
98.4444	1.94034e-06
98.5556	1.92644e-06
98.6667	1.91233e-06
98.7778	1.89805e-06
98.8889	1.88374e-06
99	1.86937e-06
99.1111	1.85508e-06
99.2222	1.84091e-06
99.3333	1.82693e-06
99.4444	1.81316e-06
99.5556	1.79973e-06
99.6667	1.7867e-06
99.7778	1.77406e-06
99.8889	1.76197e-06
