Data table for Real componets Re[epsilon] for Argon gas
Re values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4
21.98	2.55637e-07
22	-1.25785e-06
22.02	-2.7632e-06
22.04	-4.26319e-06
22.06	-5.76119e-06
22.08	-7.26699e-06
22.1	-8.76775e-06
22.12	-1.02814e-05
22.14	-1.18279e-05
22.16	-1.34027e-05
22.18	-1.50252e-05
22.2	-1.67018e-05
22.22	-1.84371e-05
22.24	-2.02332e-05
22.26	-2.20905e-05
22.28	-2.40091e-05
22.3	-2.59857e-05
22.32	-2.80176e-05
22.34	-3.00998e-05
22.36	-3.22264e-05
22.38	-3.43896e-05
22.4	-3.65808e-05
22.42	-3.87888e-05
22.44	-4.10012e-05
22.46	-4.32029e-05
22.48	-4.5376e-05
22.5	-4.74987e-05
22.52	-4.95444e-05
22.54	-5.14772e-05
22.56	-5.32405e-05
22.58	-5.47786e-05
22.6	-5.60596e-05
22.62	-5.70634e-05
22.64	-5.77778e-05
22.66	-5.81932e-05
22.68	-5.83119e-05
22.7	-5.81364e-05
22.72	-5.76752e-05
22.74	-5.69419e-05
22.76	-5.59546e-05
22.78	-5.47356e-05
22.8	-5.33141e-05
22.82	-5.17234e-05
22.84	-5.00037e-05
22.86	-4.82029e-05
22.88	-4.6377e-05
22.9	-4.45926e-05
22.92	-4.29305e-05
22.94	-4.1491e-05
22.96	-4.04074e-05
22.98	-3.98934e-05
23	-4.01565e-05
23.02	-4.1314e-05
23.04	-4.34394e-05
23.06	-4.65755e-05
23.08	-5.07406e-05
23.1	-5.59307e-05
23.12	-6.2121e-05
23.14	-6.92661e-05
23.16	-7.72993e-05
23.18	-8.61317e-05
23.2	-9.56503e-05
23.22	-0.000105711
23.24	-0.000116141
23.26	-0.000126721
23.28	-0.000137176
23.3	-0.000147145
23.32	-0.000156106
23.34	-0.000163117
23.36	-0.000167345
23.38	-0.000168621
23.4	-0.000167327
23.42	-0.00016439
23.44	-0.000160417
23.46	-0.000155772
23.48	-0.000150717
23.5	-0.000145458
23.52	-0.000140158
23.54	-0.000134956
23.56	-0.000129964
23.58	-0.000125272
23.6	-0.000120965
23.62	-0.000117104
23.64	-0.000113743
23.66	-0.000110894
23.68	-0.000108679
23.7	-0.00010703
23.72	-0.000105989
23.74	-0.000105558
23.76	-0.00010573
23.78	-0.000106489
23.8	-0.0001078
23.82	-0.000109623
23.84	-0.000111887
23.86	-0.000114477
23.88	-0.000117283
23.9	-0.000120225
23.92	-0.000123253
23.94	-0.000126318
23.96	-0.000129384
23.98	-0.00013242
24	-0.000135399
24.02	-0.000138297
24.04	-0.000141095
24.06	-0.000143777
24.08	-0.000146327
24.1	-0.000148734
24.12	-0.000150993
24.14	-0.000153093
24.16	-0.000155028
24.18	-0.000156799
24.2	-0.000158407
24.22	-0.000159844
24.24	-0.000161121
24.26	-0.000162248
24.28	-0.000163229
24.3	-0.000164082
24.32	-0.000164828
24.34	-0.000165499
24.36	-0.000166119
24.38	-0.000166702
24.4	-0.000167262
24.42	-0.000167811
24.44	-0.000168355
24.46	-0.000168903
24.48	-0.000169463
24.5	-0.000170037
24.52	-0.000170633
24.54	-0.000171252
24.56	-0.000171919
24.58	-0.000172583
24.6	-0.000173298
24.62	-0.000174046
24.64	-0.000174833
24.66	-0.000175655
24.68	-0.000176513
24.7	-0.000177414
24.72	-0.000178359
24.74	-0.000179316
24.76	-0.000180318
24.78	-0.000181348
24.8	-0.000182404
24.82	-0.000183448
24.84	-0.000184527
24.86	-0.000185651
24.88	-0.000186744
24.9	-0.000187833
24.92	-0.00018892
24.94	-0.000189999
24.96	-0.000191071
24.98	-0.000192136
25	-0.00019319
25.02	-0.000194233
25.04	-0.000195275
25.06	-0.000196283
25.08	-0.000197279
25.1	-0.000198265
25.12	-0.000199236
25.14	-0.000200182
25.16	-0.000201121
25.18	-0.000202045
25.2	-0.000202954
25.22	-0.000203855
25.24	-0.000204723
25.26	-0.000205588
25.28	-0.000206439
25.3	-0.000207277
25.32	-0.000208102
25.34	-0.000208918
25.36	-0.000209724
25.38	-0.000210522
25.4	-0.000211311
25.42	-0.000212087
25.44	-0.000212863
25.46	-0.000213635
25.48	-0.000214403
25.5	-0.000215164
25.52	-0.000215922
25.54	-0.000216675
25.56	-0.000217425
25.58	-0.000218173
25.6	-0.000218917
25.62	-0.000219658
25.64	-0.000220397
25.66	-0.000221134
25.68	-0.000221866
25.7	-0.000222596
25.72	-0.000223325
25.74	-0.000224048
25.76	-0.000224773
25.78	-0.000225495
25.8	-0.000226216
25.82	-0.000226935
25.84	-0.00022765
25.86	-0.000228366
25.88	-0.000229078
25.9	-0.000229789
25.92	-0.0002305
25.94	-0.000231207
25.96	-0.000231911
25.98	-0.000232616
26	-0.000233317
26.02	-0.000234019
26.04	-0.000234718
26.06	-0.000235414
26.08	-0.000236109
26.1	-0.000236803
26.12	-0.000237495
26.14	-0.000238186
26.16	-0.000238874
26.18	-0.000239562
26.2	-0.000240248
26.22	-0.000240933
26.24	-0.000241617
26.26	-0.000242299
26.28	-0.00024298
26.3	-0.000243659
26.32	-0.000244338
26.34	-0.000245015
26.36	-0.000245692
26.38	-0.000246366
26.4	-0.000247041
26.42	-0.000247715
26.44	-0.000248388
26.46	-0.000249059
26.48	-0.000249731
26.5	-0.000250403
26.52	-0.000251073
26.54	-0.000251743
26.56	-0.000252412
26.58	-0.000253082
26.6	-0.000253749
26.62	-0.000254416
26.64	-0.000255081
26.66	-0.000255747
26.68	-0.000256411
