Data table for Imaginary Im[epsilon] and real componets Re[epsilon] for Argon gas
Re and Im values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4	Im*1e4
0	-nan	226	-0.659303
0	-nan	227	-0.654116
0	-nan	228	-0.64798
0	-nan	229	-0.641295
0	-nan	230	-0.634552
0	-nan	231	-0.627647
0	-nan	232	-0.620482
0	-nan	233	-0.613684
0	-nan	234	-0.607621
0	-nan	235	-0.601213
0	-nan	236	-0.593385
0	-nan	237	-0.584609
0	-nan	238	-0.575392
0	-nan	239	-0.565197
0	-nan	240	-0.553706
0	-nan	241	-0.542365
0	-nan	242	-0.527767
0	-nan	243	-0.509466
0	-nan	244	-0.480838
0	-nan	245	-0.484937
0	-nan	246	-0.438937
0	-nan	247	-0.40874
0	-nan	248	-0.411988
0	-nan	249	-0.403059
0	-nan	250	-0.428952
0	-nan	251	-0.457663
0	-nan	252	-0.486935
0	-nan	253	-0.510515
0	-nan	254	-0.528394
0	-nan	255	-0.54361
0	-nan	256	-0.552823
0	-nan	257	-0.558951
0	-nan	258	-0.564357
0	-nan	259	-0.569548
0	-nan	260	-0.571351
0	-nan	261	-0.571584
0	-nan	262	-0.575273
0	-nan	263	-0.576018
0	-nan	264	-0.576514
0	-nan	265	-0.577559
0	-nan	266	-0.578951
0	-nan	267	-0.581323
0	-nan	268	-0.58571
0	-nan	269	-0.590858
0	-nan	270	-0.591208
0	-nan	271	-0.5903
0	-nan	272	-0.587863
0	-nan	273	-0.586175
0	-nan	274	-0.584997
0	-nan	275	-0.585185
0	-nan	276	-0.5828
0	-nan	277	-0.583182
0	-nan	278	-0.580463
0	-nan	279	-0.578824
0	-nan	280	-0.579204
0	-nan	281	-0.576683
0	-nan	282	-0.576099
0	-nan	283	-0.573969
0	-nan	284	-0.573179
0	-nan	285	-0.572386
0	-nan	286	-0.571298
0	-nan	287	-0.570326
0	-nan	288	-0.568879
0	-nan	289	-0.568525
0	-nan	290	-0.568111
0	-nan	291	-0.566571
0	-nan	292	-0.565493
0	-nan	293	-0.564579
0	-nan	294	-0.56337
0	-nan	295	-0.561379
0	-nan	296	-0.559977
0	-nan	297	-0.559867
0	-nan	298	-0.559045
0	-nan	299	-0.557702
0	-nan	300	-0.555289
0	-nan	301	-0.554945
0	-nan	302	-0.555049
0	-nan	303	-0.552462
0	-nan	304	-0.550982
0	-nan	305	-0.549931
0	-nan	306	-0.548378
0	-nan	307	-0.547656
0	-nan	308	-0.547128
0	-nan	309	-0.544742
0	-nan	310	-0.542857
0	-nan	311	-0.541958
0	-nan	312	-0.540682
0	-nan	313	-0.538976
0	-nan	314	-0.538642
0	-nan	315	-0.538017
0	-nan	316	-0.53501
0	-nan	317	-0.534157
0	-nan	318	-0.532307
0	-nan	319	-0.52906
0	-nan	320	-0.527877
0	-nan	321	-0.525837
0	-nan	322	-0.523602
0	-nan	323	-0.522066
0	-nan	324	-0.522029
0	-nan	325	-0.52258
0	-nan	326	-0.524685
0	-nan	327	-0.523777
0	-nan	328	-0.524829
0	-nan	329	-0.524264
0	-nan	330	-0.524224
0	-nan	331	-0.524723
0	-nan	332	-0.522268
0	-nan	333	-0.522075
0	-nan	334	-0.521264
0	-nan	335	-0.520759
0	-nan	336	-0.519934
0	-nan	337	-0.519398
0	-nan	338	-0.517406
0	-nan	339	-0.515337
0	-nan	340	-0.515316
0	-nan	341	-0.514287
0	-nan	342	-0.514067
0	-nan	343	-0.512476
0	-nan	344	-0.51214
0	-nan	345	-0.510619
0	-nan	346	-0.508414
0	-nan	347	-0.50893
0	-nan	348	-0.506887
0	-nan	349	-0.504807
0	-nan	350	-0.505784
0	-nan	351	-0.504546
0	-nan	352	-0.503331
0	-nan	353	-0.50227
0	-nan	354	-0.50136
0	-nan	355	-0.500494
0	-nan	356	-0.499572
0	-nan	357	-0.498537
0	-nan	358	-0.497373
0	-nan	359	-0.495711
0	-nan	360	-0.495267
0	-nan	361	-0.492047
0	-nan	362	-0.491466
0	-nan	363	-0.490971
0	-nan	364	-0.488523
0	-nan	365	-0.488432
0	-nan	366	-0.489539
0	-nan	367	-0.487722
0	-nan	368	-0.485906
0	-nan	369	-0.484385
0	-nan	370	-0.482398
0	-nan	371	-0.481789
0	-nan	372	-0.481433
0	-nan	373	-0.480791
0	-nan	374	-0.479256
0	-nan	375	-0.478074
0	-nan	376	-0.47683
0	-nan	377	-0.47611
0	-nan	378	-0.474968
0	-nan	379	-0.474372
0	-nan	380	-0.474103
0	-nan	381	-0.472373
0	-nan	382	-0.470935
0	-nan	383	-0.469703
0	-nan	384	-0.467865
0	-nan	385	-0.466542
0	-nan	386	-0.46787
0	-nan	387	-0.465933
0	-nan	388	-0.463748
0	-nan	389	-0.462157
0	-nan	390	-0.461929
0	-nan	391	-0.461978
0	-nan	392	-0.45988
0	-nan	393	-0.459767
0	-nan	394	-0.457537
0	-nan	395	-0.457895
0	-nan	396	-0.457353
0	-nan	397	-0.456151
0	-nan	398	-0.45365
0	-nan	399	-0.45393
0	-nan	400	-0.454144
0	-nan	401	-0.453294
0	-nan	402	-0.450953
0	-nan	403	-0.448537
0	-nan	404	-0.447497
0	-nan	405	-0.447296
0	-nan	406	-0.446979
0	-nan	407	-0.445977
0	-nan	408	-0.444138
0	-nan	409	-0.44242
0	-nan	410	-0.441597
0	-nan	411	-0.44118
0	-nan	412	-0.440469
0	-nan	413	-0.439526
0	-nan	414	-0.438524
0	-nan	415	-0.439093
0	-nan	416	-0.436513
0	-nan	417	-0.435718
0	-nan	418	-0.435073
0	-nan	419	-0.433328
0	-nan	420	-0.431802
0	-nan	421	-0.430052
0	-nan	422	-0.429825
0	-nan	423	-0.429986
0	-nan	424	-0.429224
0	-nan	425	-0.42765
0	-nan	426	-0.425864
0	-nan	427	-0.424948
0	-nan	428	-0.425161
0	-nan	429	-0.425327
0	-nan	430	-0.424291
0	-nan	431	-0.422855
0	-nan	432	-0.421934
0	-nan	433	-0.420896
0	-nan	434	-0.419057
0	-nan	435	-0.417152
0	-nan	436	-0.416079
0	-nan	437	-0.415979
0	-nan	438	-0.416519
0	-nan	439	-0.416572
0	-nan	440	-0.415299
0	-nan	441	-0.413661
0	-nan	442	-0.412725
0	-nan	443	-0.412128
0	-nan	444	-0.41124
0	-nan	445	-0.410312
0	-nan	446	-0.409566
0	-nan	447	-0.408655
0	-nan	448	-0.407696
0	-nan	449	-0.405779
0	-nan	450	-0.404677
0	-nan	451	-0.403647
0	-nan	452	-0.403686
0	-nan	453	-0.401458
0	-nan	454	-0.401212
0	-nan	455	-0.401044
0	-nan	456	-0.400321
0	-nan	457	-0.39937
0	-nan	458	-0.398528
0	-nan	459	-0.397686
0	-nan	460	-0.396632
0	-nan	461	-0.39576
0	-nan	462	-0.395431
0	-nan	463	-0.395499
0	-nan	464	-0.395145
0	-nan	465	-0.394391
0	-nan	466	-0.392068
0	-nan	467	-0.391717
0	-nan	468	-0.391039
0	-nan	469	-0.390336
0	-nan	470	-0.389053
0	-nan	471	-0.388102
0	-nan	472	-0.387585
0	-nan	473	-0.387268
0	-nan	474	-0.386102
0	-nan	475	-0.386426
0	-nan	476	-0.38523
0	-nan	477	-0.385218
0	-nan	478	-0.383885
0	-nan	479	-0.382092
0	-nan	480	-0.380964
0	-nan	481	-0.380597
0	-nan	482	-0.380511
0	-nan	483	-0.380167
0	-nan	484	-0.378943
0	-nan	485	-0.377615
0	-nan	486	-0.37693
0	-nan	487	-0.376566
0	-nan	488	-0.375394
0	-nan	489	-0.375738
0	-nan	490	-0.37569
0	-nan	491	-0.375143
0	-nan	492	-0.373529
0	-nan	493	-0.371906
0	-nan	494	-0.371331
0	-nan	495	-0.371198
0	-nan	496	-0.371146
0	-nan	497	-0.370753
0	-nan	498	-0.369851
0	-nan	499	-0.368971
0	-nan	500	-0.368152
0	-nan	501	-0.367388
0	-nan	502	-0.366646
0	-nan	503	-0.36591
0	-nan	504	-0.365177
0	-nan	505	-0.364454
0	-nan	506	-0.363808
0	-nan	507	-0.363011
0	-nan	508	-0.362292
0	-nan	509	-0.361579
0	-nan	510	-0.36084
0	-nan	511	-0.360155
0	-nan	512	-0.359445
0	-nan	513	-0.358735
0	-nan	514	-0.358031
0	-nan	515	-0.357322
0	-nan	516	-0.356625
0	-nan	517	-0.355919
0	-nan	518	-0.355221
0	-nan	519	-0.354789
0	-nan	520	-0.353703
0	-nan	521	-0.353132
0	-nan	522	-0.35244
0	-nan	523	-0.351754
0	-nan	524	-0.351078
0	-nan	525	-0.350375
0	-nan	526	-0.349584
0	-nan	527	-0.349005
0	-nan	528	-0.348321
0	-nan	529	-0.347644
0	-nan	530	-0.347457
0	-nan	531	-0.34629
0	-nan	532	-0.345616
0	-nan	533	-0.344943
0	-nan	534	-0.344273
0	-nan	535	-0.343605
0	-nan	536	-0.342939
0	-nan	537	-0.342272
0	-nan	538	-0.341609
0	-nan	539	-0.34095
0	-nan	540	-0.340199
0	-nan	541	-0.339632
0	-nan	542	-0.338949
0	-nan	543	-0.338384
0	-nan	544	-0.337671
0	-nan	545	-0.337021
0	-nan	546	-0.336375
0	-nan	547	-0.335728
0	-nan	548	-0.335085
0	-nan	549	-0.334443
0	-nan	550	-0.333803
0	-nan	551	-0.333166
0	-nan	552	-0.332544
0	-nan	553	-0.331893
0	-nan	554	-0.331264
0	-nan	555	-0.330459
0	-nan	556	-0.329995
0	-nan	557	-0.329374
0	-nan	558	-0.328747
0	-nan	559	-0.3281
0	-nan	560	-0.327506
0	-nan	561	-0.326807
0	-nan	562	-0.0676113
0	-nan	563	-0.325655
0	-nan	564	-0.325056
0	-nan	565	-0.324035
0	-nan	566	-0.32382
0	-nan	567	-0.323212
0	-nan	568	-0.322593
0	-nan	569	-0.322001
0	-nan	570	-0.321411
0	-nan	571	-0.320796
0	-nan	572	-0.320203
0	-nan	573	-0.319602
0	-nan	574	-0.319008
0	-nan	575	-0.318417
0	-nan	576	-0.317624
0	-nan	577	-0.317235
0	-nan	578	-0.316648
0	-nan	579	-0.316063
0	-nan	580	-0.31548
0	-nan	581	-0.315179
0	-nan	582	-0.314319
0	-nan	583	-0.313742
0	-nan	584	-0.313164
0	-nan	585	-0.31252
0	-nan	586	-0.312016
0	-nan	587	-0.311448
0	-nan	588	-0.310888
0	-nan	589	-0.310347
0	-nan	590	-0.309744
0	-nan	591	-0.309416
0	-nan	592	-0.308623
0	-nan	593	-0.308063
0	-nan	594	-0.307504
0	-nan	595	-0.306967
0	-nan	596	-0.306395
0	-nan	597	-0.305849
0	-nan	598	-0.305288
0	-nan	599	-0.304739
0	-nan	600	-0.304191
0	-nan	601	-0.303646
0	-nan	602	-0.303103
0	-nan	603	-0.302559
0	-nan	604	-0.302019
0	-nan	605	-0.301425
0	-nan	606	-0.301025
0	-nan	607	-0.300487
0	-nan	608	-0.299959
0	-nan	609	-0.29934
0	-nan	610	-0.298811
0	-nan	611	-0.298321
0	-nan	612	-0.297755
0	-nan	613	-0.297231
0	-nan	614	-0.296706
0	-nan	615	-0.296183
0	-nan	616	-0.295635
0	-nan	617	-0.295145
0	-nan	618	-0.294627
0	-nan	619	-0.294087
0	-nan	620	-0.293603
0	-nan	621	-0.293086
0	-nan	622	-0.292567
0	-nan	623	-0.292064
0	-nan	624	-0.291554
0	-nan	625	-0.290946
0	-nan	626	-0.290573
0	-nan	627	-0.290073
0	-nan	628	-0.289543
0	-nan	629	-0.289052
0	-nan	630	-0.288578
0	-nan	631	-0.288049
0	-nan	632	-0.287554
0	-nan	633	-0.287061
0	-nan	634	-0.28657
0	-nan	635	-0.286079
0	-nan	636	-0.28559
0	-nan	637	-0.285115
0	-nan	638	-0.284617
0	-nan	639	-0.284131
0	-nan	640	-0.283628
0	-nan	641	-0.28317
0	-nan	642	-0.282688
0	-nan	643	-0.282211
0	-nan	644	-0.281759
0	-nan	645	-0.281259
0	-nan	646	-0.280716
0	-nan	647	-0.28017
0	-nan	648	-0.279843
0	-nan	649	-0.279376
0	-nan	650	-0.278915
0	-nan	651	-0.278439
0	-nan	652	-0.277972
0	-nan	653	-0.277495
0	-nan	654	-0.277052
0	-nan	655	-0.276591
0	-nan	656	-0.27612
