Data table for Real componets Re[epsilon] for Argon gas
Re values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4
307.273	0.000181202
308.182	-0.00390872
309.091	-0.00789034
310	-0.0117735
310.909	-0.0155572
311.818	-0.0192449
312.727	-0.0228396
313.636	-0.0263439
314.545	-0.0297605
315.455	-0.033092
316.364	-0.0363422
317.273	-0.0395106
318.182	-0.0426009
319.091	-0.0456091
320	-0.0485497
320.909	-0.0514185
321.818	-0.0542179
322.727	-0.056949
323.636	-0.0596139
324.545	-0.0622144
325.455	-0.0647523
326.364	-0.0672348
327.273	-0.0696522
328.182	-0.0720118
329.091	-0.0743149
330	-0.0765658
330.909	-0.0787603
331.818	-0.0808996
332.727	-0.082991
333.636	-0.0850327
334.545	-0.087026
335.455	-0.088972
336.364	-0.0908719
337.273	-0.0927269
338.182	-0.0945379
339.091	-0.0963061
340	-0.0980325
340.909	-0.0997181
341.818	-0.101364
342.727	-0.10297
343.636	-0.104539
344.545	-0.106064
345.455	-0.107578
346.364	-0.109038
347.273	-0.110446
348.182	-0.111837
349.091	-0.113195
350	-0.114521
350.909	-0.115815
351.818	-0.117079
352.727	-0.118333
353.636	-0.119537
354.545	-0.120711
355.455	-0.121836
356.364	-0.122955
357.273	-0.124047
358.182	-0.125112
359.091	-0.126151
360	-0.127165
360.909	-0.128154
361.818	-0.129119
362.727	-0.130061
363.636	-0.130999
364.545	-0.131894
365.455	-0.132767
366.364	-0.133618
367.273	-0.134448
368.182	-0.135257
369.091	-0.136045
370	-0.136814
370.909	-0.137562
371.818	-0.138292
372.727	-0.139003
373.636	-0.139695
374.545	-0.140369
375.455	-0.141026
376.364	-0.141665
377.273	-0.142287
378.182	-0.142893
379.091	-0.143482
380	-0.144056
380.909	-0.144613
381.818	-0.145156
382.727	-0.145683
383.636	-0.146196
384.545	-0.146694
385.455	-0.147178
386.364	-0.147648
387.273	-0.148104
388.182	-0.148539
389.091	-0.148969
390	-0.149386
390.909	-0.149791
391.818	-0.150184
392.727	-0.150564
393.636	-0.150932
394.545	-0.151289
395.455	-0.151635
396.364	-0.151969
397.273	-0.152293
398.182	-0.152605
399.091	-0.152907
400	-0.153199
400.909	-0.153481
401.818	-0.153752
402.727	-0.154014
403.636	-0.154267
404.545	-0.15451
405.455	-0.154744
406.364	-0.154968
407.273	-0.155184
408.182	-0.155392
409.091	-0.15559
410	-0.155781
410.909	-0.155963
411.818	-0.156145
412.727	-0.156311
413.636	-0.156469
414.545	-0.156612
415.455	-0.156756
416.364	-0.156892
417.273	-0.157021
418.182	-0.157142
419.091	-0.157257
420	-0.157366
420.909	-0.157467
421.818	-0.157562
422.727	-0.157651
423.636	-0.157733
424.545	-0.157809
425.455	-0.157879
426.364	-0.157943
427.273	-0.158001
428.182	-0.158054
429.091	-0.158101
430	-0.158149
430.909	-0.158185
431.818	-0.158216
432.727	-0.158241
433.636	-0.158262
434.545	-0.158277
