   89   13.91800       1.7406E-03 -2.7295E-04  4.46780E-01
   90   13.99400       1.7325E-03 -2.9692E-04  4.47112E-01
   91   14.07000       1.7225E-03 -3.1876E-04  4.46963E-01
   92   14.14600       1.7118E-03 -3.3828E-04  4.46588E-01
   93   14.22300       1.7008E-03 -3.5632E-04  4.46136E-01
   94   14.30000       1.6899E-03 -3.7310E-04  4.45691E-01
   95   14.37800       1.6792E-03 -3.8930E-04  4.45270E-01
   96   14.45600       1.6686E-03 -4.0482E-04  4.44840E-01
   97   14.53400       1.6579E-03 -4.1959E-04  4.44408E-01
   98   14.61300       1.6475E-03 -4.3420E-04  4.44024E-01
   99   14.69300       1.6373E-03 -4.4918E-04  4.43656E-01
  100   14.77200       1.6266E-03 -4.6371E-04  4.43139E-01
  101   14.85300       1.6150E-03 -4.7801E-04  4.42375E-01
  102   14.93300       1.6030E-03 -4.9114E-04  4.41467E-01
  103   15.01400       1.5909E-03 -5.0384E-04  4.40517E-01
  104   15.09600       1.5785E-03 -5.1647E-04  4.39475E-01
  105   15.17800       1.5656E-03 -5.2865E-04  4.38248E-01
  106   15.26000       1.5521E-03 -5.3999E-04  4.36822E-01
  107   15.34300       1.5381E-03 -5.5071E-04  4.35229E-01
  108   15.42600       1.5236E-03 -5.6060E-04  4.33480E-01
  109   15.51000       1.5087E-03 -5.6979E-04  4.31556E-01
  110   15.59400       1.4932E-03 -5.7786E-04  4.29457E-01
  111   15.67900       1.4775E-03 -5.8491E-04  4.27238E-01
  112   15.76400       1.4617E-03 -5.9065E-04  4.24977E-01
  113   15.85000       1.4465E-03 -5.9550E-04  4.22839E-01
  114   15.93600       1.4325E-03 -6.0014E-04  4.21021E-01
  115   16.02200       1.4197E-03 -6.0537E-04  4.19509E-01
  116   16.10900       1.4071E-03 -6.1147E-04  4.18048E-01
  117   16.19700       1.3941E-03 -6.1797E-04  4.16434E-01
  118   16.28500       1.3807E-03 -6.2432E-04  4.14677E-01
  119   16.37300       1.3671E-03 -6.3043E-04  4.12822E-01
  120   16.46200       1.3531E-03 -6.3647E-04  4.10811E-01
  121   16.55200       1.3383E-03 -6.4221E-04  4.08518E-01
